country,ses2,score,rank,year,survey
Argentina,1.0,523.2099999999896,94.0,2000,PISA
Argentina,1.0,529.4854999999894,95.0,2000,PISA
Argentina,1.0,535.51279999999565,96.0,2000,PISA
Argentina,1.0,549.9722999999866,97.0,2000,PISA
Argentina,1.0,566.5203999999871,98.0,2000,PISA
Argentina,1.0,585.6669999999906,99.0,2000,PISA
Argentina,1.0,670.9399999999732,100.0,2000,PISA
Argentina,2.0,117.5199999999968,0.0,2000,PISA
Argentina,2.0,178.78109999999796,1.0,2000,PISA
Argentina,2.0,205.2899999999936,2.0,2000,PISA
Argentina,2.0,213.3677999999971,3.0,2000,PISA
Argentina,2.0,220.67879999999744,4.0,2000,PISA
Argentina,2.0,229.33599999999896,5.0,2000,PISA
Argentina,2.0,240.9967999999973,6.0,2000,PISA
Argentina,2.0,248.25,7.0,2000,PISA
Argentina,2.0,258.0411999999965,8.0,2000,PISA
Argentina,2.0,261.11289999999644,9.0,2000,PISA
Argentina,2.0,275.33199999999636,10.0,2000,PISA
Argentina,2.0,278.51589999999635,11.0,2000,PISA
Argentina,2.0,281.60039999998816,12.0,2000,PISA
Argentina,2.0,284.91659999999274,13.0,2000,PISA
Argentina,2.0,291.283399999993,14.0,2000,PISA
Argentina,2.0,296.62399999998956,15.0,2000,PISA
Argentina,2.0,301.9439999999944,16.0,2000,PISA
Argentina,2.0,308.2938999999934,17.0,2000,PISA
Argentina,2.0,309.18519999999813,18.0,2000,PISA
Argentina,2.0,313.1299999999901,19.0,2000,PISA
Argentina,2.0,319.8899999999994,20.0,2000,PISA
Argentina,2.0,324.67439999999056,21.0,2000,PISA
Argentina,2.0,327.5021999999933,22.0,2000,PISA
Argentina,2.0,331.6990999999965,23.0,2000,PISA
Argentina,2.0,336.41599999999164,24.0,2000,PISA
Argentina,2.0,341.00749999999243,25.0,2000,PISA
Argentina,2.0,345.82099999998957,26.0,2000,PISA
Argentina,2.0,350.3844999999904,27.0,2000,PISA
Argentina,2.0,354.10319999999484,28.0,2000,PISA
Argentina,2.0,358.15999999998894,29.0,2000,PISA
Argentina,2.0,360.92699999999314,30.0,2000,PISA
Argentina,2.0,367.36949999999416,31.0,2000,PISA
Argentina,2.0,373.1843999999977,32.0,2000,PISA
Argentina,2.0,373.8339999999937,33.0,2000,PISA
Argentina,2.0,377.22219999999163,34.0,2000,PISA
Argentina,2.0,381.9009999999915,35.0,2000,PISA
Argentina,2.0,387.03919999998993,36.0,2000,PISA
Argentina,2.0,389.4317999999965,37.0,2000,PISA
Argentina,2.0,391.71479999999076,38.0,2000,PISA
Argentina,2.0,394.4063999999952,39.0,2000,PISA
Argentina,2.0,399.1859999999957,40.0,2000,PISA
Argentina,2.0,400.66999999999825,41.0,2000,PISA
Argentina,2.0,402.288799999998,42.0,2000,PISA
Argentina,2.0,405.37779999999634,43.0,2000,PISA
Argentina,2.0,406.5375999999908,44.0,2000,PISA
Argentina,2.0,408.9079999999951,45.0,2000,PISA
Argentina,2.0,410.5309999999928,46.0,2000,PISA
Argentina,2.0,415.8107999999887,47.0,2000,PISA
Argentina,2.0,418.41079999999727,48.0,2000,PISA
Argentina,2.0,422.1299999999901,49.0,2000,PISA
Argentina,2.0,423.84999999999127,50.0,2000,PISA
Argentina,2.0,429.2686999999944,51.0,2000,PISA
Argentina,2.0,430.73559999999065,52.0,2000,PISA
Argentina,2.0,432.1899999999878,53.0,2000,PISA
Argentina,2.0,434.3483999999965,54.0,2000,PISA
Argentina,2.0,438.53699999999014,55.0,2000,PISA
Argentina,2.0,443.3799999999901,56.0,2000,PISA
Argentina,2.0,444.1816999999926,57.0,2000,PISA
Argentina,2.0,446.19299999999,58.0,2000,PISA
Argentina,2.0,450.005,59.0,2000,PISA
Argentina,2.0,452.1719999999942,60.0,2000,PISA
Argentina,2.0,454.06999999999243,61.0,2000,PISA
Argentina,2.0,456.1899999999878,62.0,2000,PISA
Argentina,2.0,456.9499999999971,63.0,2000,PISA
Argentina,2.0,460.28559999999356,64.0,2000,PISA
Argentina,2.0,463.17899999999355,65.0,2000,PISA
Argentina,2.0,467.0347999999911,66.0,2000,PISA
Argentina,2.0,471.4292999999916,67.0,2000,PISA
Argentina,2.0,475.5751999999926,68.0,2000,PISA
Argentina,2.0,480.2439999999924,69.0,2000,PISA
Argentina,2.0,483.06999999999243,70.0,2000,PISA
Argentina,2.0,485.51299999999,71.0,2000,PISA
Argentina,2.0,489.02599999999455,72.0,2000,PISA
Argentina,2.0,491.54849999998754,73.0,2000,PISA
Argentina,2.0,494.36799999999005,74.0,2000,PISA
Argentina,2.0,499.87749999999505,75.0,2000,PISA
Argentina,2.0,502.293599999994,76.0,2000,PISA
Argentina,2.0,507.64659999999947,77.0,2000,PISA
Argentina,2.0,509.412999999997,78.0,2000,PISA
Argentina,2.0,510.6481999999876,79.0,2000,PISA
Argentina,2.0,513.5999999999767,80.0,2000,PISA
Argentina,2.0,518.4849999999732,81.0,2000,PISA
Argentina,2.0,520.2903999999882,82.0,2000,PISA
Argentina,2.0,522.3910999999968,83.0,2000,PISA
Argentina,2.0,525.5607999999879,84.0,2000,PISA
Argentina,2.0,530.7349999999773,85.0,2000,PISA
Argentina,2.0,535.4893999999821,86.0,2000,PISA
Argentina,2.0,541.0799999999872,87.0,2000,PISA
Argentina,2.0,542.4843999999878,88.0,2000,PISA
Argentina,2.0,549.476299999978,89.0,2000,PISA
Argentina,2.0,556.506999999992,90.0,2000,PISA
Argentina,2.0,560.73,91.0,2000,PISA
Argentina,2.0,562.6699999999826,92.0,2000,PISA
Argentina,2.0,572.2020999999929,93.0,2000,PISA
Argentina,2.0,576.0415999999852,94.0,2000,PISA
Argentina,2.0,578.5404999999896,95.0,2000,PISA
Argentina,2.0,584.8275999999814,96.0,2000,PISA
Argentina,2.0,596.9451999999856,97.0,2000,PISA
Argentina,2.0,610.1849999999883,98.0,2000,PISA
Argentina,2.0,626.6248999999973,99.0,2000,PISA
Argentina,2.0,674.6399999999849,100.0,2000,PISA
Argentina,3.0,10.459999999999582,0.0,2000,PISA
Argentina,3.0,145.83849999999472,1.0,2000,PISA
Argentina,3.0,182.20919999999504,2.0,2000,PISA
